age	same_sex	age_6	age_4	age_25	age_2545	age_4565	age_65	party	republican	independent	democrat	born_christian
80	1	6	4	0	0	0	1	1	1	0	0	0
25	0	1	1	1	0	0	0	1	1	0	0	1
64	0	5	3	0	0	1	0	-1	0	0	1	0
78	0	6	4	0	0	0	1	1	1	0	0	1
46	0	4	3	0	0	1	0	1	1	0	0	0
35	1	2	2	0	1	0	0	-1	0	0	1	0
28	1	2	2	0	1	0	0	-1	0	0	1	0
39	0	3	2	0	1	0	0	1	1	0	0	0
73	0	6	4	0	0	0	1	1	1	0	0	1
25	1	1	1	1	0	0	0	0	0	1	0	0
72	0	6	4	0	0	0	1	1	1	0	0	1
48	0	4	3	0	0	1	0	1	1	0	0	1
32	0	2	2	0	1	0	0	1	1	0	0	0
31	0	2	2	0	1	0	0	-1	0	0	1	1
22	1	1	1	1	0	0	0	-1	0	0	1	0
52	1	4	3	0	0	1	0	0	0	1	0	0
84	0	6	4	0	0	0	1	-1	0	0	1	0
58	0	5	3	0	0	1	0	1	1	0	0	0
43	1	3	2	0	1	0	0	1	1	0	0	0
26	0	2	2	0	1	0	0	0	0	1	0	0
67	1	6	4	0	0	0	1	1	1	0	0	0
61	1	5	3	0	0	1	0	-1	0	0	1	0
65	0	5	3	0	0	1	0	0	0	1	0	0
31	1	2	2	0	1	0	0	-1	0	0	1	0
65	1	5	3	0	0	1	0	1	1	0	0	0
49	1	4	3	0	0	1	0	1	1	0	0	0
23	1	1	1	1	0	0	0	-1	0	0	1	0
48	0	4	3	0	0	1	0	1	1	0	0	1
62	1	5	3	0	0	1	0	1	1	0	0	0
80	1	6	4	0	0	0	1	-1	0	0	1	0
53	1	4	3	0	0	1	0	-1	0	0	1	0
82	0	6	4	0	0	0	1	1	1	0	0	0
31	0	2	2	0	1	0	0	1	1	0	0	1
74	1	6	4	0	0	0	1	-1	0	0	1	1
41	1	3	2	0	1	0	0	-1	0	0	1	0
49	1	4	3	0	0	1	0	-1	0	0	1	0
25	0	1	1	1	0	0	0	1	1	0	0	0
23	0	1	1	1	0	0	0	-1	0	0	1	1
22	0	1	1	1	0	0	0	-1	0	0	1	0
53	1	4	3	0	0	1	0	1	1	0	0	1
79	0	6	4	0	0	0	1	1	1	0	0	0
21	0	1	1	1	0	0	0	1	1	0	0	1
64	1	5	3	0	0	1	0	-1	0	0	1	0
66	0	6	4	0	0	0	1	1	1	0	0	1
68	0	6	4	0	0	0	1	1	1	0	0	1
41	1	3	2	0	1	0	0	-1	0	0	1	0
47	1	4	3	0	0	1	0	-1	0	0	1	0
26	1	2	2	0	1	0	0	0	0	1	0	0
75	1	6	4	0	0	0	1	1	1	0	0	0
36	1	3	2	0	1	0	0	-1	0	0	1	1
78	1	6	4	0	0	0	1	1	1	0	0	0
49	0	4	3	0	0	1	0	1	1	0	0	0
45	0	3	2	0	1	0	0	1	1	0	0	1
48	1	4	3	0	0	1	0	1	1	0	0	1
29	0	2	2	0	1	0	0	1	1	0	0	0
61	0	5	3	0	0	1	0	1	1	0	0	0
77	1	6	4	0	0	0	1	1	1	0	0	1
77	0	6	4	0	0	0	1	-1	0	0	1	1
65	0	5	3	0	0	1	0	-1	0	0	1	1
63	1	5	3	0	0	1	0	-1	0	0	1	0
54	0	4	3	0	0	1	0	-1	0	0	1	0
71	1	6	4	0	0	0	1	-1	0	0	1	0
46	1	4	3	0	0	1	0	-1	0	0	1	1
31	1	2	2	0	1	0	0	-1	0	0	1	0
70	0	6	4	0	0	0	1	1	1	0	0	0
50	1	4	3	0	0	1	0	-1	0	0	1	0
68	1	6	4	0	0	0	1	1	1	0	0	0
27	1	2	2	0	1	0	0	-1	0	0	1	0
23	0	1	1	1	0	0	0	1	1	0	0	1
52	0	4	3	0	0	1	0	1	1	0	0	0
46	1	4	3	0	0	1	0	0	0	1	0	0
20	1	1	1	1	0	0	0	0	0	1	0	0
35	1	2	2	0	1	0	0	0	0	1	0	0
74	1	6	4	0	0	0	1	-1	0	0	1	0
27	1	2	2	0	1	0	0	0	0	1	0	0
63	1	5	3	0	0	1	0	1	1	0	0	0
47	0	4	3	0	0	1	0	-1	0	0	1	0
63	1	5	3	0	0	1	0	1	1	0	0	0
69	0	6	4	0	0	0	1	1	1	0	0	1
60	1	5	3	0	0	1	0	1	1	0	0	1
31	0	2	2	0	1	0	0	0	0	1	0	1
46	1	4	3	0	0	1	0	-1	0	0	1	0
20	1	1	1	1	0	0	0	-1	0	0	1	0
79	0	6	4	0	0	0	1	1	1	0	0	1
31	0	2	2	0	1	0	0	1	1	0	0	0
37	1	3	2	0	1	0	0	-1	0	0	1	0
60	0	5	3	0	0	1	0	1	1	0	0	1
35	1	2	2	0	1	0	0	-1	0	0	1	0
45	1	3	2	0	1	0	0	-1	0	0	1	0
31	1	2	2	0	1	0	0	1	1	0	0	0
