"name","state","public","tier_name","sticker_price_2013","sat_avg_2013","par_median","k_median","mr_kq5_pq1","par_top1pc","scorecard_rej_rate_2013","mobility_above_average"
"Clark University","MA","Private","4 H. Sel.
Private",40730,NA,103000,49600,0.0224187690764666,0.0503282323479652,0.384600013494492,1
"Clarke University","IA","Private","6 Selective
private",28900,998,75700,45100,0.0344569608569145,0.00994982291013002,0.224800005555153,1
"Clarkson University","NY","Private","6 Selective
private",42530,1190,94600,73300,0.029669975861907,0.0106835989281535,0.359699994325638,1
"Clayton State University","GA","Public","5 Selective
public",5246,930,77600,35000,0.0154494931921363,0.00227338378317654,0.523000001907349,0
"Clearwater Christian College","FL","Private","6 Selective
private",17080,980,64300,41500,0.008086740039289,0.00713252555578947,0.299100011587143,0
"Clemson University","SC","Public","3 H. Sel.
Public",13446,1245,120200,52300,0.0120140574872494,0.030593091621995,0.421299993991852,0
"Cleveland State University","OH","Public","5 Selective
public",9686,1035,72700,37000,0.0160726979374886,0.00607162760570645,0.371300011873245,0
"Coastal Carolina University","SC","Public","5 Selective
public",10320,1000,91500,37800,0.0104055730625987,0.0166354589164257,0.259600013494492,0
"Coe College","IA","Private","6 Selective
private",37320,1152.5,90600,48500,0.0156217431649566,0.015752088278532,0.38289999961853,0
"Coker College","SC","Private","6 Selective
private",25536,1009,59000,34600,0.0121703632175922,0.00200307392515242,0.467400014400482,0
"Colby College","ME","Private","2 Other
elite",47350,1330,208700,59200,0.00903765019029379,0.183357656002045,0.739600002765656,0
"Colby-Sawyer College","NH","Private","6 Selective
private",38040,NA,99400,41900,0.00992310885339975,0.0336135402321815,0.168799996376038,0
"Colgate University","NY","Private","2 Other
elite",48175,1375,208900,71500,0.0087406812235713,0.197672680020332,0.736199975013733,0
"College Of Charleston","SC","Public","5 Selective
public",10981,1130,119500,39900,0.0095318928360939,0.0526665486395359,0.296900004148483,0
"College Of Idaho ","ID","Private","6 Selective
private",24625,1055,92200,45700,0.0193595178425312,0.0208803117275238,0.0949999988079071,1
"College Of Mount Saint Joseph","OH","Private","6 Selective
private",26850,985,88500,41700,0.00457494473084807,0.0134425228461623,0.124499998986721,0
"College Of Mount Saint Vincent And Manhattan College","NY","Private","6 Selective
private",35247.1953125,1035.70483398438,94800,67900,0.0578355975449085,0.0173799805343151,0.315496027469635,1
"College Of New Jersey ","NJ","Public","2 Other
elite",15024,1215,122300,60100,0.0180823169648647,0.00992844998836517,0.568899989128113,0
"College Of New Rochelle ","NY","Private","6 Selective
private",32300,955,40400,30800,0.0286728646606207,9.69033935689367e-05,0.430500000715256,1
"College Of Our Lady Of The Elms","MA","Private","6 Selective
private",31188,950,87500,45400,0.0188268106430769,0.00844044331461191,0.250800013542175,0
"College Of Saint Benedict","MN","Private","6 Selective
private",39402,1120,106800,47300,0.0124094905331731,0.025500450283289,0.244599997997284,0
"College Of Saint Elizabeth","NJ","Private","6 Selective
private",30095,842.5,75200,44700,0.0250331778079271,0.00552830332890153,0.51639997959137,1
"College Of Saint Rose","NY","Private","6 Selective
private",29016,NA,91000,46200,0.0173032712191343,0.00602522306144238,0.224900007247925,0
"College Of Saint Scholastica","MN","Private","6 Selective
private",32842,1125,87700,54800,0.0218931008130312,0.00671356497332454,0.273499995470047,1
"College Of Staten Island/CUNY","NY","Public","5 Selective
public",6458,1005,73500,41200,0.0413480252027512,0.00354557996615767,0.00249999994412065,1
"College Of The Holy Cross","MA","Private","2 Other
elite",45692,NA,157000,71900,0.0100014405325055,0.108607649803162,0.670300006866455,0
"College Of The Ozarks","MO","Private","6 Selective
private",18530,1180,49200,32000,0.0331719666719437,0.0015461080474779,0.869899988174438,1
"College Of William & Mary","VA","Public","2 Other
elite",15465,1370,147100,59800,0.00523603707551956,0.0445473045110703,0.667900025844574,0
"College Of Wooster ","OH","Private","6 Selective
private",43350,1210,108100,47200,0.0070711518637836,0.0350556261837482,0.436699986457825,0
"Colorado Christian University","CO","Private","6 Selective
private",20935,NA,98600,30700,0.00355303636752069,0.0323603637516499,0.0236000008881092,0
"Colorado College","CO","Private","4 H. Sel.
Private",46410,NA,154600,43600,0.0182258319109678,0.132561862468719,0.777199983596802,0
"Colorado Mesa University","CO","Public","5 Selective
public",7116,966.5,75800,35000,0.0200712084770203,0.00553036201745272,0.178800001740456,1
"Colorado School Of Mines","CO","Public","3 H. Sel.
Public",16918,1315,111500,81500,0.0249116364866495,0.0149360820651054,0.625699996948242,1
"Colorado State University","CO","Public","5 Selective
public",9897,1140,115400,45800,0.0111963069066405,0.0355592742562294,0.225700005888939,0
"Colorado State University-Pueblo","CO","Public","5 Selective
public",7834,980,72300,38100,0.0248553156852722,0.00544690294191241,0.0566000007092953,1
"Columbia College of Chicago, IL","IL","Private","6 Selective
private",23544,NA,85100,28500,0.00950074847787619,0.0224565416574478,0.094700001180172,0
"Columbia College of Columbia, SC","SC","Private","6 Selective
private",27350,1020,62600,33800,0.0130726378411055,0.0119657116010785,0.350100010633469,0
"Columbia University In The City Of New York","NY","Private","1 Ivy+",51008,1480,169600,75300,0.0307359341531992,0.13680274784565,0.925800025463104,1
"Columbus State University","GA","Public","5 Selective
public",5613,980,72600,35400,0.0178428925573826,0.007443908136338,0.445699989795685,0
"Concord University","WV","Public","5 Selective
public",6580,960,66800,31800,0.0143297500908375,0.00243588490411639,0.542999982833862,0
"Concordia College - Moorhead","MN","Private","6 Selective
private",34114,1256.5,86400,45600,0.0135802440345287,0.0202093552798033,0.200200006365776,0
"Concordia University - Saint Paul","MN","Private","6 Selective
private",20200,NA,77900,39900,0.0170486774295568,0.0088078323751688,0.476099997758865,0
"Concordia University - Wisconsin","WI","Private","6 Selective
private",26160,1051.5,79300,38600,0.00818521808832884,0.00788112077862024,0.300799995660782,0
"Concordia University Texas","TX","Private","6 Selective
private",26960,1015,91300,40400,0.0122338412329555,0.0152565818279982,0.531499981880188,0
"Concordia University of Irvine, CA","CA","Private","6 Selective
private",30640,1030,94000,39600,0.0141805950552225,0.0217363685369492,0.0881000012159348,0
