age	same_sex	age_6	age_4	age_25	age_2545	age_4565	age_65	party	republican	independent	democrat	born_christian	retire	old_republican	gop_age	party2	same_sex2	same_sex3	same_sex4	same_sex5	same_sex6
68	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
21	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
63	1	5	3	0	0	1	0	1	1	0	0	0	0	1	63	2	1	0	0	1	1
70	0	6	4	0	0	0	1	1	1	0	0	0	1	1	70	2	1	0	0	1	0
21	1	1	1	1	0	0	0	1	1	0	0	1	0	0	21	2	1	1	1	1	1
51	0	4	3	0	0	1	0	-1	0	0	1	1	0	0	0	0	0	0	0	0	0
25	1	1	1	1	0	0	0	1	1	0	0	0	0	1	25	2	1	1	1	1	1
88	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
48	0	4	3	0	0	1	0	1	1	0	0	1	0	1	48	2	0	0	0	1	0
68	0	6	4	0	0	0	1	1	1	0	0	1	1	1	68	2	1	0	0	1	0
43	1	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
50	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
22	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
39	1	3	2	0	1	0	0	1	1	0	0	0	0	1	39	2	1	1	1	1	1
68	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
79	0	6	4	0	0	0	1	1	1	0	0	0	1	1	79	2	1	0	0	1	0
36	1	3	2	0	1	0	0	1	1	0	0	0	0	1	36	2	1	1	1	1	1
75	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
71	0	6	4	0	0	0	1	1	1	0	0	1	1	1	71	2	1	0	0	1	0
67	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
45	0	3	2	0	1	0	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
24	0	1	1	1	0	0	0	1	1	0	0	1	0	0	24	2	0	1	0	1	0
46	1	4	3	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1
46	0	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
69	1	6	4	0	0	0	1	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
33	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
65	1	5	3	0	0	1	0	-1	0	0	1	0	1	0	0	0	1	0	1	1	1
52	0	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
56	1	5	3	0	0	1	0	1	1	0	0	0	0	1	56	2	1	0	0	1	1
38	1	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
83	1	6	4	0	0	0	1	1	1	0	0	0	1	1	83	2	1	0	0	1	1
81	0	6	4	0	0	0	1	1	1	0	0	1	1	1	81	2	1	0	0	1	0
21	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
45	0	3	2	0	1	0	0	1	1	0	0	0	0	1	45	2	0	0	0	1	0
33	1	2	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
43	0	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1
39	1	3	2	0	1	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1
45	0	3	2	0	1	0	0	1	1	0	0	0	0	1	45	2	0	0	0	1	0
82	1	6	4	0	0	0	1	1	1	0	0	0	1	1	82	2	1	0	0	1	1
47	0	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	0	0	0	0	0
88	0	6	4	0	0	0	1	1	1	0	0	0	1	1	88	2	1	0	0	1	0
53	1	4	3	0	0	1	0	-1	0	0	1	0	0	0	0	0	1	0	1	1	1
